trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,WeekMa10,WeekMa60,Week60-10,Week10-60
20200123,603139.SH,17.0293,17.1086,18.536,16.7914,17.0888,-0.059499999999999886,-0.3482,7678998.0,136847274.0,16.646679999999993,16.588574999999988,-0.058105000000004736,0.058105000000004736
20200117,603139.SH,17.0888,17.2474,17.6042,16.9797,17.2474,-0.15859999999999985,-0.9196,3977624.0,69368429.0,16.52970999999999,16.57464499999999,0.04493499999999884,-0.04493499999999884
20200110,603139.SH,17.2474,17.1482,17.4456,16.8608,17.1482,0.09919999999999973,0.5785,4154268.0,71984188.0,16.530699999999992,16.573339999999988,0.042639999999995126,-0.042639999999995126
20200103,603139.SH,17.1482,16.5634,17.3068,16.4544,16.6328,0.5153999999999996,3.0987,3693815.0,63646042.0,16.533669999999994,16.54674999999999,0.013079999999995096,-0.013079999999995096
20191227,603139.SH,16.6328,16.7319,16.9004,16.3652,16.6328,0.0,0.0,2498653.0,41954010.0,16.50195999999999,16.522963333333323,0.02100333333333282,-0.02100333333333282
20191220,603139.SH,16.6328,16.2462,16.95,16.2165,16.2363,0.39649999999999963,2.4421,3971699.0,66352860.0,16.47023999999999,16.50185999999999,0.031620000000000203,-0.031620000000000203
20191213,603139.SH,16.2363,16.6031,16.6031,16.0975,16.4841,-0.24780000000000157,-1.5033,1904508.0,31216921.0,16.48807999999999,16.47402999999999,-0.014050000000001006,0.014050000000001006
20191206,603139.SH,16.4841,15.9092,16.8509,15.9092,16.0777,0.4064000000000014,2.5277,3101206.0,51056973.0,16.51583999999999,16.454611666666654,-0.06122833333333588,0.06122833333333588
20191129,603139.SH,16.0777,15.8596,16.1471,15.5722,15.8894,0.1882999999999999,1.1851,1771573.0,28359193.0,16.51286999999999,16.463056666666656,-0.04981333333333282,0.04981333333333282
20191122,603139.SH,15.8894,15.7704,16.2462,15.711,15.8596,0.029799999999999827,0.1879,1825202.0,29542877.0,16.61595999999999,16.48024499999999,-0.13571500000000114,0.13571500000000114
20191115,603139.SH,15.8596,16.9302,17.0194,15.8497,17.0987,-1.2391000000000005,-7.2467,3446436.0,56492673.0,16.74084999999999,16.494828333333324,-0.24602166666666747,0.24602166666666747
20191108,603139.SH,17.0987,17.2771,17.5348,16.9996,17.2771,-0.1783999999999999,-1.0326,5023791.0,87593293.0,16.841959999999993,16.51679999999999,-0.3251600000000039,0.3251600000000039
20191101,603139.SH,17.2771,16.9302,17.3168,16.5535,16.8311,0.4460000000000015,2.6499,3952542.0,67661868.0,16.79338999999999,16.524353333333323,-0.26903666666666837,0.26903666666666837
20191025,603139.SH,16.8311,16.2462,16.9401,16.1868,16.3156,0.5154999999999994,3.1596,2957318.0,49444292.0,16.750769999999992,16.532051666666657,-0.21871833333333512,0.21871833333333512
20191018,603139.SH,16.3156,16.841,17.2969,16.3156,16.8112,-0.4955999999999996,-2.948,3126276.0,53353879.0,16.696249999999992,16.542261666666658,-0.15398833333333428,0.15398833333333428
20191011,603139.SH,16.8112,16.5139,16.9004,16.4048,16.5139,0.2972999999999999,1.8003,1747305.0,29408585.0,16.626869999999993,16.574516666666657,-0.05235333333333614,0.05235333333333614
20190930,603139.SH,16.5139,16.5039,16.7518,16.3949,16.4544,0.059499999999999886,0.3616,443200.0,7422415.0,16.592179999999995,16.59965999999999,0.007479999999993936,-0.007479999999993936
20190927,603139.SH,16.4544,17.0689,17.2474,16.1967,17.1086,-0.6541999999999994,-3.8238,2831309.0,47938681.0,16.617949999999997,16.663228333333322,0.045278333333325094,-0.045278333333325094
20190920,603139.SH,17.1086,17.1879,17.3564,16.5932,17.1383,-0.029700000000001836,-0.1733,3353963.0,57217387.0,16.67553,16.746163333333325,0.07063333333332622,-0.07063333333332622
20190912,603139.SH,17.1383,16.9996,17.4159,16.8707,16.8707,0.2676000000000016,1.5862,3273086.0,56484118.0,16.64997,16.82049166666666,0.1705216666666587,-0.1705216666666587
20190906,603139.SH,16.8707,16.7617,17.3168,16.4544,16.613,0.2576999999999998,1.5512,4111101.0,70465065.0,16.653929999999995,16.86774666666666,0.21381666666666277,-0.21381666666666277
20190830,603139.SH,16.613,16.5436,17.1482,16.4544,16.8509,-0.23789999999999978,-1.4118,3227675.0,54910542.0,16.707289999999997,16.935211666666657,0.22792166666665992,-0.22792166666665992
20190823,603139.SH,16.8509,16.2165,17.1482,16.2165,16.2859,0.5649999999999977,3.4693,3502164.0,59030176.0,16.74507,16.99679999999999,0.25172999999999135,-0.25172999999999135
20190816,603139.SH,16.2859,15.6218,16.6031,15.4929,15.6218,0.6641000000000012,4.2511,2818542.0,45333367.0,16.71378,17.07998666666666,0.3662066666666597,-0.3662066666666597
